[Wed Apr 15 15:30:00.614676 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:30:00.615699 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:30:00.615752 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:30:00.616810 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:30:00.616872 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:10:19.264520 2015] [:error] [pid 1928] [client 127.0.0.1:42865] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65
[Wed Apr 15 16:10:19.284947 2015] [:error] [pid 1928] [client 127.0.0.1:42865] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10
[Wed Apr 15 16:10:19.285845 2015] [:error] [pid 1928] [client 127.0.0.1:42865] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65
[Wed Apr 15 16:10:19.285878 2015] [:error] [pid 1928] [client 127.0.0.1:42865] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10
[Wed Apr 15 16:10:19.286483 2015] [:error] [pid 1928] [client 127.0.0.1:42865] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65
